block,flatType,chinese,malay,indian,proj_id
114B,2-room flexi,1,1,1,2021-05_SBF_QkJfTjFDMTVfMTYxOTUwOTg0NzQwMg
114A,2-room flexi,1,1,1,2021-05_SBF_QkJfTjFDMTVfMTYxOTUwOTg0NzQwMg
167,4-room,1,1,1,2021-05_SBF_QkJfTjFDOUFfMTYyMDIxMDYwMDEwNA
230A,2-room flexi,4,4,4,2021-05_SBF_QkJfTjJDMjFfMTYyMDQ1MzI0MDE0OA
296C,4-room,1,1,1,2021-05_SBF_QkJfTjJDMjNfMTYyMDM2MTMyMDM0Nw
219,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_QkJfTjJDN18xNjIwMjEwNjAwMTA0
316,4-room,1,1,1,2021-05_SBF_QkJfTjNDM18xNjIwMjEwNjAwMTA2
377,2-room flexi,1,1,1,2021-05_SBF_QkJfTjNDMTNfMTYxOTUwOTg0NzUwMg
433A,"3-room (income ceiling $7,000)",1,0,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433A,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433A,4-room,4,1,4,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
432A,5-room,1,1,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433B,"3-room (income ceiling $7,000)",2,0,2,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433B,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433B,4-room,1,0,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
431A,"3-room (income ceiling $7,000)",1,0,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
431A,2-room flexi,2,1,2,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
431A,4-room,1,1,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433C,5-room,2,2,2,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
433C,4-room,2,2,2,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
432B,2-room flexi,2,2,2,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
431B,4-room,1,1,1,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng
461A,4-room,1,0,1,2021-05_SBF_QkJfTjRDMTBfMTYyMDM2MTMyMDM2OQ
468A,2-room flexi,3,3,3,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
468B,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467A,2-room flexi,1,0,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467A,4-room,1,0,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467B,5-room,3,2,3,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467B,4-room,1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467C,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
467C,2-room flexi,2,2,2,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
464A,5-room,1,0,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
464A,4-room,1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
463A,4-room,1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
464B,2-room flexi,2,1,2,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
464B,4-room,1,0,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
463B,5-room,2,2,2,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
463B,4-room,1,1,1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA
460D,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDMTJfMTYxOTUwOTg0NzU0NQ
446A,5-room,1,1,1,2021-05_SBF_QkJfTjRDMTNfMTYyMDM2MTMyMDM3MQ
445A,4-room,1,1,1,2021-05_SBF_QkJfTjRDMTNfMTYyMDM2MTMyMDM3MQ
450B,4-room,1,1,1,2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg
450C,4-room,1,1,1,2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg
450D,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg
438A,4-room,2,0,2,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4
437A,5-room,1,0,1,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4
436A,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4
439A,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4
443B,4-room,1,1,1,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2
442B,4-room,1,1,1,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2
440A,2-room flexi,1,1,1,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2
440B,4-room,1,1,1,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2
506,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_QkJfTjVDMV8xNjIwMjEwNjAwMTI2
512,executive,1,1,0,2021-05_SBF_QkJfTjVDNl8xNjIwMjEwNjAwMTI3
213,4-room,1,1,1,2021-05_SBF_QlBfTjJDMThfMTYyMDIxMDYwMDE5Nw
226,4-room,1,1,1,2021-05_SBF_QlBfTjJDMTVfMTYyMDIxMDYwMDE5Ng
454,2-room flexi,4,4,4,2021-05_SBF_QlBfTjRDMTdfMTYyMDQ1NzAyMDEyNw
477,5-room,1,1,0,2021-05_SBF_QlBfTjRDMTJfMTYxOTUwOTg0ODI5NA
404,4-room,1,1,1,2021-05_SBF_QlBfTjRDMUFfMTYyMDIxMDYwMDE5Nw
533,4-room,1,1,0,2021-05_SBF_QlBfTjVDMTBfMTYyMDIxMDYwMDE5OA
634B,2-room flexi,2,2,2,2021-05_SBF_QlBfTjZDMTBfMTYyMDQ1NzAyMDEzMA
634A,2-room flexi,3,3,3,2021-05_SBF_QlBfTjZDMTBfMTYyMDQ1NzAyMDEzMA
640A,4-room,3,3,3,2021-05_SBF_QlBfTjZDMTJfMTYxOTUwOTg0ODM0MQ
647B,4-room,1,1,1,2021-05_SBF_QlBfTjZDMTNfMTYxOTUwOTg0ODM1MQ
643A,5-room,1,0,1,2021-05_SBF_QlBfTjZDMTNfMTYxOTUwOTg0ODM1MQ
638A,5-room,4,4,4,2021-05_SBF_QlBfTjZDMTVfMTYxOTUwOTg0ODQwMQ
638A,3gen,4,4,4,2021-05_SBF_QlBfTjZDMTVfMTYxOTUwOTg0ODQwMQ
629,5-room,1,1,1,2021-05_SBF_QlBfTjZDOF8xNjIwMjEwNjAwMjAw
476A,2-room flexi,2,2,1,2021-05_SBF_Q0NLX040QzE0XzE2MjA0NTcwMjAxNDk
476B,2-room flexi,2,2,2,2021-05_SBF_Q0NLX040QzE0XzE2MjA0NTcwMjAxNDk
476D,2-room flexi,2,2,2,2021-05_SBF_Q0NLX040QzE0XzE2MjA0NTcwMjAxNDk
488B,2-room flexi,2,2,2,2021-05_SBF_Q0NLX040QzE1XzE2MjA0NTcwMjAxNTA
574,2-room flexi,1,1,1,2021-05_SBF_Q0NLX041QzEyXzE2MjA0NTcwMjAxNTE
570,2-room flexi,1,1,1,2021-05_SBF_Q0NLX041QzEyXzE2MjA0NTcwMjAxNTE
571,2-room flexi,2,2,2,2021-05_SBF_Q0NLX041QzEyXzE2MjA0NTcwMjAxNTE
685C,4-room,1,1,1,2021-05_SBF_Q0NLX042QzEzXzE2MjAyMTA2MDAyMjI
611,5-room,1,1,1,2021-05_SBF_Q0NLX042QzNfMTYyMDIxMDYwMDIyMg
801D,5-room,1,0,1,2021-05_SBF_Q0NLX044QzFfMTYyMDM2MTU2MDAzNg
803B,4-room,1,0,1,2021-05_SBF_Q0NLX044QzJfMTYyMDM2MTU2MDAzNw
818C,5-room,1,1,1,2021-05_SBF_Q0NLX044QzkxMF8xNjIwMzYxNTYwMDM5
816B,4-room,1,0,1,2021-05_SBF_Q0NLX044QzkxMF8xNjIwMzYxNTYwMDM5
808A,4-room,1,0,1,2021-05_SBF_Q0NLX044QzRfMTYyMDM2MTU2MDAzNw
812C,5-room,1,0,1,2021-05_SBF_Q0NLX044QzZfMTYxOTUwOTg0ODU4OA
812A,5-room,1,0,1,2021-05_SBF_Q0NLX044QzZfMTYxOTUwOTg0ODU4OA
161C,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_Q0NLX04xQzE2XzE2MTk1MDk4NDg1MTE
161C,2-room flexi,1,1,1,2021-05_SBF_Q0NLX04xQzE2XzE2MTk1MDk4NDg1MTE
161C,4-room,2,2,2,2021-05_SBF_Q0NLX04xQzE2XzE2MTk1MDk4NDg1MTE
161B,4-room,1,1,1,2021-05_SBF_Q0NLX04xQzE2XzE2MTk1MDk4NDg1MTE
161A,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_Q0NLX04xQzE2XzE2MTk1MDk4NDg1MTE
11,4-room,1,1,1,2021-05_SBF_Q0NLX04xQzFCXzE2MjAyMTA2MDAyMTY
1,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_Q0NLX04xQzFDXzE2MjAyMTA2MDAyMTc
283,4-room,1,1,1,2021-05_SBF_Q0NLX04yQzExXzE2MjAyMTA2MDAyMTg
701,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_SEdfTjdDMV8xNjIwMjEwNjAwMjky
174B,2-room flexi,3,3,2,2021-05_SBF_SEdfTjFDMV8xNjIwNDU3MjAwMDkz
124,"3-room (income ceiling $7,000)",1,1,1,2021-05_SBF_SEdfTjFDMVVfMTYyMDIxMDYwMDI3Nw
993A,2-room flexi,2,2,2,2021-05_SBF_SEdfTjlDMjFfMTYyMDIxMDYwMDI5NA
993B,2-room flexi,1,1,1,2021-05_SBF_SEdfTjlDMjFfMTYyMDIxMDYwMDI5NA
994C,4-room,2,2,2,2021-05_SBF_SEdfTjlDMjFfMTYyMDIxMDYwMDI5NA
994A,2-room flexi,2,2,2,2021-05_SBF_SEdfTjlDMjFfMTYyMDIxMDYwMDI5NA
978C,4-room,1,1,1,2021-05_SBF_SEdfTjlDMTBfMTYyMDIxMDYwMDI5Mw
986B,2-room flexi,1,1,1,2021-05_SBF_SEdfTjlDMTVfMTYyMDIxMDYwMDI5Mw
992A,2-room flexi,1,1,1,2021-05_SBF_SEdfTjlDMTZfMTYyMDIxMDYwMDI5NA
991B,2-room flexi,1,1,1,2021-05_SBF_SEdfTjlDMTZfMTYyMDIxMDYwMDI5NA
