flatType,supply,proj_id,price_range_upper,price_range_lower
2-Room Flexi,2,2021-05_SBF_QkJfTjFDMTVfMTYxOTUwOTg0NzQwMg,188100,60300
4-Room,1,2021-05_SBF_QkJfTjFDOUFfMTYyMDIxMDYwMDEwNA,275000,275000
2-Room Flexi,4,2021-05_SBF_QkJfTjJDMjFfMTYyMDQ1MzI0MDE0OA,98100,44200
4-Room,1,2021-05_SBF_QkJfTjJDMjNfMTYyMDM2MTMyMDM0Nw,361500,361500
"3-Room (Income Ceiling $7,000)",1,2021-05_SBF_QkJfTjJDN18xNjIwMjEwNjAwMTA0,184000,184000
4-Room,1,2021-05_SBF_QkJfTjNDM18xNjIwMjEwNjAwMTA2,265000,265000
2-Room Flexi,1,2021-05_SBF_QkJfTjNDMTNfMTYxOTUwOTg0NzUwMg,93100,57000
2-Room Flexi,6,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng,136100,33800
"3-Room (Income Ceiling $7,000)",4,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng,204500,189000
4-Room,9,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng,320500,278500
5-Room,3,2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng,423600,411600
4-Room,1,2021-05_SBF_QkJfTjRDMTBfMTYyMDM2MTMyMDM2OQ,298800,298800
2-Room Flexi,9,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA,141000,36200
"3-Room (Income Ceiling $7,000)",1,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA,202400,202400
4-Room,6,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA,332900,294900
5-Room,6,2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA,449700,416700
2-Room Flexi,1,2021-05_SBF_QkJfTjRDMTJfMTYxOTUwOTg0NzU0NQ,131100,45600
4-Room,1,2021-05_SBF_QkJfTjRDMTNfMTYyMDM2MTMyMDM3MQ,271300,271300
5-Room,1,2021-05_SBF_QkJfTjRDMTNfMTYyMDM2MTMyMDM3MQ,470900,470900
2-Room Flexi,1,2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg,113000,37800
4-Room,2,2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg,275800,265800
2-Room Flexi,2,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4,123400,39300
4-Room,2,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4,304600,303900
5-Room,1,2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4,399900,399900
2-Room Flexi,1,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2,121400,40600
4-Room,3,2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2,318300,290500
"3-Room (Income Ceiling $7,000)",1,2021-05_SBF_QkJfTjVDMV8xNjIwMjEwNjAwMTI2,154000,154000
Executive,1,2021-05_SBF_QkJfTjVDNl8xNjIwMjEwNjAwMTI3,445000,445000
4-Room,1,2021-05_SBF_QlBfTjJDMThfMTYyMDIxMDYwMDE5Nw,275000,275000
4-Room,1,2021-05_SBF_QlBfTjJDMTVfMTYyMDIxMDYwMDE5Ng,215000,215000
2-Room Flexi,4,2021-05_SBF_QlBfTjRDMTdfMTYyMDQ1NzAyMDEyNw,95300,40100
5-Room,1,2021-05_SBF_QlBfTjRDMTJfMTYxOTUwOTg0ODI5NA,337000,337000
4-Room,1,2021-05_SBF_QlBfTjRDMUFfMTYyMDIxMDYwMDE5Nw,265000,265000
4-Room,1,2021-05_SBF_QlBfTjVDMTBfMTYyMDIxMDYwMDE5OA,295000,295000
2-Room Flexi,5,2021-05_SBF_QlBfTjZDMTBfMTYyMDQ1NzAyMDEzMA,85000,42500
4-Room,3,2021-05_SBF_QlBfTjZDMTJfMTYxOTUwOTg0ODM0MQ,380200,329700
4-Room,1,2021-05_SBF_QlBfTjZDMTNfMTYxOTUwOTg0ODM1MQ,310400,310400
5-Room,1,2021-05_SBF_QlBfTjZDMTNfMTYxOTUwOTg0ODM1MQ,427900,427900
5-Room,2,2021-05_SBF_QlBfTjZDMTVfMTYxOTUwOTg0ODQwMQ,459900,402500
3Gen,2,2021-05_SBF_QlBfTjZDMTVfMTYxOTUwOTg0ODQwMQ,467500,454600
5-Room,1,2021-05_SBF_QlBfTjZDOF8xNjIwMjEwNjAwMjAw,447000,447000
2-Room Flexi,6,2021-05_SBF_Q0NLX040QzE0XzE2MjA0NTcwMjAxNDk,83400,39100
2-Room Flexi,2,2021-05_SBF_Q0NLX040QzE1XzE2MjA0NTcwMjAxNTA,84900,39200
2-Room Flexi,4,2021-05_SBF_Q0NLX041QzEyXzE2MjA0NTcwMjAxNTE,87200,44000
4-Room,1,2021-05_SBF_Q0NLX042QzEzXzE2MjAyMTA2MDAyMjI,215000,215000
5-Room,1,2021-05_SBF_Q0NLX042QzNfMTYyMDIxMDYwMDIyMg,397000,397000
5-Room,1,2021-05_SBF_Q0NLX044QzFfMTYyMDM2MTU2MDAzNg,425000,425000
4-Room,1,2021-05_SBF_Q0NLX044QzJfMTYyMDM2MTU2MDAzNw,305000,305000
4-Room,1,2021-05_SBF_Q0NLX044QzkxMF8xNjIwMzYxNTYwMDM5,331000,331000
