proj_id,precinct_name,town,Remaining_Lease,Est_Completion
2021-05_SBF_QkJfTjFDMTVfMTYxOTUwOTg0NzQwMg,Sky Vista @ Bukit Batok,Bukit Batok,15 - 99 years,1/2022
2021-05_SBF_QkJfTjFDOUFfMTYyMDIxMDYwMDEwNA,Bt Batok West Ave 8,Bukit Batok,63 years,Keys Available
2021-05_SBF_QkJfTjJDMjFfMTYyMDQ1MzI0MDE0OA,Golden Daisy,Bukit Batok,15 - 45 years,Keys Available
2021-05_SBF_QkJfTjJDMjNfMTYyMDM2MTMyMDM0Nw,Skyline II @ Bukit Batok,Bukit Batok,96 years,Keys Available
2021-05_SBF_QkJfTjJDN18xNjIwMjEwNjAwMTA0,Bt Batok St 21,Bukit Batok,63 years,Keys Available
2021-05_SBF_QkJfTjNDM18xNjIwMjEwNjAwMTA2,Bt Batok St 32,Bukit Batok,64 years,Keys Available
2021-05_SBF_QkJfTjNDMTNfMTYxOTUwOTg0NzUwMg,Bukit Gombak Vista,Bukit Batok,15 - 45 years,Keys Available
2021-05_SBF_QkJfTjRDMjJfMTYxOTUwOTg0NzY5Ng,West Scape @ Bukit Batok,Bukit Batok,15 - 99 years,8/2021 to 11/2021
2021-05_SBF_QkJfTjRDMTBfMTYyMDM2MTMyMDM2OQ,West Rock @ Bukit Batok,Bukit Batok,98 years,Keys Available
2021-05_SBF_QkJfTjRDMThfMTYxOTUwOTg0NzY2OA,West Plains @ Bukit Batok,Bukit Batok,15 - 99 years,Keys Available
2021-05_SBF_QkJfTjRDMTJfMTYxOTUwOTg0NzU0NQ,West Quarry @ Bukit Batok,Bukit Batok,15 - 98 years,Keys Available
2021-05_SBF_QkJfTjRDMTNfMTYyMDM2MTMyMDM3MQ,West Crest @ Bukit Batok,Bukit Batok,97 years,Keys Available
2021-05_SBF_QkJfTjRDMTZfMTYyMDM2MTMyMDM3Mg,West Terra @ Bukit Batok,Bukit Batok,15 - 97 years,Keys Available
2021-05_SBF_QkJfTjRDNV8xNjE5NTA5ODQ3NTA4,West Edge @ Bukit Batok,Bukit Batok,15 - 98 years,Keys Available
2021-05_SBF_QkJfTjRDOF8xNjE5NTA5ODQ3NTI2,West Ridges @ Bukit Batok,Bukit Batok,15 - 97 years,Keys Available
2021-05_SBF_QkJfTjVDMV8xNjIwMjEwNjAwMTI2,Hillgrove Gardens,Bukit Batok,66 years,Keys Available
