Town,Seed_link
Bukit Batok,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_QkJfTjJDMjJfMTYxOTUwOTg0NzQzNg
Bukit Panjang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_QlBfTjZDM18xNjE5NTA5ODQ4MzE3
Choa Chu Kang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_Q0NLX04zQzNfMTYyMDIxMDYwMDIxOQ
Hougang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_SEdfTjNDMTNfMTYyMDIxMDYwMDI3OA
Jurong East,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_SkVfTjJDMjJfMTYyMDIxMDYwMDI5NQ
Jurong West,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_SldfTjJDMjBfMTYxOTUwOTg0OTMwMA
Punggol,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_UEdfUzJDMTRfMTYyMDQ1NzM4MDA1MA
Sembawang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_U0JfTjNDMTRfMTYyMDIxMjEwMDA5NQ
Sengkang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_U0tfTjJDNDJfMTYyMDQ1NzU2MDA3MQ
Tengah,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_VEdfRDFDM18xNjE5NTA5ODUxNTgx
Woodlands,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_V0xfTjJDOF8xNjIwMjEyNDAwMjYx
Yishun,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_WVNfTjJDNF8xNjIwMjE5NjAwMTAw
Ang Mo Kio,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_QU1LX04yQzlfMTYyMDIxMDYwMDAyOQ
Bedok,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_QkRfTjJDMTFfMTYxOTUwOTg0NzkzNQ
Bishan,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_QkhfTjFDN0JfMTYyMDIxMDYwMDE3Mw
Bukit Merah,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_Qk1fTjZSQzQ4XzE2MjA0NTcwMjAxMjM
Clementi,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_Q0xfTjRDMTFfMTYxOTUwOTg0ODcwOQ
Geylang,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_R0xfTjVDMjZBXzE2MTk1MDk4NDg5MTg
Kallang / Whampoa,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_S1dOX04zQzU3XzE2MTk1MDk4NDk0NjI
Marine Parade,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_TVBfTjJDMTBfMTYyMDIxMDYwMDM2Mg
Pasir Ris,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_UFJDX041QzEyXzE2MjAyMTE4MDAxNDE
Queenstown,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_UVRfTjFDNF8xNjE5NTA5ODUwMTI1
Serangoon,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_U0dOX04yQzFfMTYyMDIxMjEwMDA5Ng
Tampines,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_VEFQX044QzMxXzE2MTk1MDk4NTA5ODA
Toa Payoh,https://homes.hdb.gov.sg/home/sbf/details/2021-05_SBF_VFBfTjJDMjNBXzE2MTk1MDk4NTQ4OTU
